UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Josesa,@Josesarti2,2021-01-22T12:02:39.000Z,"Replying to 
@Guasonhappy
 @TwitterSeguro
 and 
@FelipeCalderon#TwitterEsPanista y poco profesional",,,1,2,[],https://twitter.com/Josesarti2/status/1352587480646750208
Rafa Grimaldo,@rafagrimaldo,2021-01-22T12:02:38.000Z,"“En la incoherencia está el desencanto”. #TwitterEsPanistaThe following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/rafagrimaldo/status/1352587475630362625
miguel melendez,@maml_t,2021-01-22T12:02:16.000Z,"Atentamente el... Ahora entiendola función  del #CoachingEmocional ..#TwitterEsPanista porque tiene  los colores del #PANQuote Tweet
JorgeMM
@jorgab99
 · Jan 22
Replying to @warkentin
#TwitterEsPanista  es tan estúpido que tiene a la gente estúpida opinando que es lo más estúpido.",,,,,['https://pbs.twimg.com/profile_images/1197704737933709312/-a38Cckv_normal.jpg'],https://twitter.com/maml_t/status/1352587382730665985
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T12:01:58.000Z,"Replying to 
@Erikamelonheart
 @Miriam_Junne
 and 
@ElReyTuitero#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352587307568803840
El_todo_lo_ve,@Eltodolove2,2021-01-22T12:01:57.000Z,"#TwitterEsPanista AMLOVERsThe following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/Eltodolove2/status/1352587301709172736
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T12:01:02.000Z,"Replying to 
@julietaetznab#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352587072733904897
Jose Adolfo Ortega,@jadolfooa,2021-01-22T12:01:01.000Z,"Chairos que promueven  #TwitterEsPanista que no saben qué es una empresa privada ? 
nada más falta que digan que los que trabajan ahí les pagan con sus impuestos ",🥇 🤣 🤣 🤣 🤣 🤣 🤣,,,,[],https://twitter.com/jadolfooa/status/1352587067604271104
Booba,@LeBouviere,2021-01-22T12:00:55.000Z,"El milagro de las redes sociales se va desvaneciendo poco a poco, se están convirtiendo en algo peor de lo que fue la TV y el Radio hace un par de decadas #TwitterEsPanista",,,2,1,[],https://twitter.com/LeBouviere/status/1352587042060906498
Josesa,@Josesarti2,2021-01-22T12:00:55.000Z,"Replying to 
@ROBERTO031956
 @APlascenciia
 and 
@TwitterSeguro#TwitterEsPanista y poco profesional",,1,2,3,[],https://twitter.com/Josesarti2/status/1352587042010652673
"Zarco
EdoMex",@le_baron68,2021-01-22T12:00:24.000Z,"#1DiaSinTwitter
#TwitterEsPanista 
#TwitterCensuraQuote Tweet
Juan Aretos ®
@jaretos
 · Jan 21
“El censurado” #ElMonoDelPollo (¿a quién les recuerda
)",🤔,,,,"['https://pbs.twimg.com/profile_images/1330728722559684611/yXIeZN-l_normal.jpg', 'https://pbs.twimg.com/media/EsT9YJmUYAINECG?format=jpg&name=medium']",https://twitter.com/le_baron68/status/1352586911567769600
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T12:00:24.000Z,"Replying to 
@Mike_Oviedo#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352586911374782465
ZeroTwo Analytics,@ZTSAnalytics,2021-01-22T12:00:02.000Z,"Top 10 Tendencias de Twitter en  México:
#WandaVision
: 60269
#TwitterCensura: None
#TwitterEsPanista: 57941
sabrina: 218798
pietro: 13924
Quackity: 48899
#AESOCON: 24074
#FridayWithMCSoobin: None
Chivas: 23236
Ultron: None",,,,,[],https://twitter.com/ZTSAnalytics/status/1352586820324782080
Josesa,@Josesarti2,2021-01-22T12:00:00.000Z,"Replying to 
@joecorvette67
 @r083_r7
 and 3 others#TwitterEsPanista y poco profesional",,,1,3,[],https://twitter.com/Josesarti2/status/1352586813421072385
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T11:59:59.000Z,"Replying to 
@MarthaCajigas#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352586809881092096
Josesa,@Josesarti2,2021-01-22T11:59:45.000Z,"Replying to 
@JulioViggiano
 @Dey_kysha
 and 
@TwitterMexico#TwitterEsPanista y poco profesional",,,,2,[],https://twitter.com/Josesarti2/status/1352586747742461953
Сέsαг,@SarinMx,2021-01-22T11:59:27.000Z,"Sí, Milenio; ya sabemos que #TwitterEsPanista y que #TwitterCensura.

Lo hemos señalado desde hace años.Quote Tweet
Milenio
@Milenio
 · Jan 21
¿Qué pasó ahí? Suspenden cuentas de seguidores AMLO en Twitter; usuarios acusan censura https://mile.io/3iA3sPO",,,2,4,"['https://pbs.twimg.com/profile_images/1324490011526500352/6QM7X0Ec_normal.jpg', 'https://pbs.twimg.com/media/EsTgUI4VoAI4uvQ?format=jpg&name=small']",https://twitter.com/SarinMx/status/1352586674371325952
Josesa,@Josesarti2,2021-01-22T11:59:20.000Z,"Replying to 
@EsNeta18
 @APlascenciia
 and 6 others#TwitterEsPanista y poco profesional",,,1,3,[],https://twitter.com/Josesarti2/status/1352586644247998467
Bruno Cortés Ramírez,@BrunoCortesFP,2021-01-22T11:59:17.000Z,"Privados del uso de la razón o del buen juicio critican a 
@TwitterMexico
  en 
@TwitterMexico
 
#TwitterEsPanista 
#TwitterCensura 
#TwitterMexico 
#TwitterPanista 
#Congruencia",,1,15,17,['https://pbs.twimg.com/media/EsVZoh_W4AEEV_H?format=png&name=medium'],https://twitter.com/BrunoCortesFP/status/1352586632583647232
miguel melendez,@maml_t,2021-01-22T11:59:06.000Z,#TwitterEsPanista está  inflado por los #Bots de #AMLO enojados por el triunfo de #Baiden  ..:( así la experta corresponsal de noticias :(,,,,,[],https://twitter.com/maml_t/status/1352586584818900993
Marketing Viral,@MktViralMex,2021-01-22T11:59:02.000Z,#TwitterEsPanista: La plataforma una vez más en la mira por suspender una cuenta  http://dlvr.it/Rr6Hbd,,,,,[],https://twitter.com/MktViralMex/status/1352586567949271042
Josesa,@Josesarti2,2021-01-22T11:58:29.000Z,"Replying to 
@taller2006
 and 
@CarpietteE#TwitterEsPanista y poco profesional",,,1,2,[],https://twitter.com/Josesarti2/status/1352586432041332736
Elías Villanueva,@VILLANUEVELIAS,2021-01-22T11:58:28.000Z,#TwitterEsPanista #TwitterCensura,,,,,[],https://twitter.com/VILLANUEVELIAS/status/1352586424441335809
minusa,@minuperez,2021-01-22T11:58:25.000Z," Buenos días !!! #TwitterEsPanista el cielo es panista , el agua de Cancún es panista 
 57k , 
 creo que también hay que pedir vacunas contra la rabia , peace & love , no se amarguen 
@AccionNacional
 organízate, esto es un bonus track , te estas viendo lento",🥰 🥰 😍 😍 ☺ ☺ 🤣 🤣 🤣 🙄 🙄 🙄,,2,17,[],https://twitter.com/minuperez/status/1352586412483338240
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T11:58:18.000Z,"Replying to 
@LaLizLizLiz#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352586385992130561
"Luz De Lucero,",@APlascenciia,2021-01-22T11:58:17.000Z,"Replying to 
@forozcolg#TwitterEsPanista",,,,1,[],https://twitter.com/APlascenciia/status/1352586378253643777
jchdezbravo,@jchdezbravo,2021-01-22T11:58:13.000Z,"#TwitterEsPanistaQuote Tweet
La Poblanita
@LaPoblanita4T
 · Jan 21
Tanto miedo nos tiene la #OposicionMiserable que nos tienen que cerrar cuentas para sentir que van a ganar algo...

#TwitterEsPanista 

#TwitterCensura",,,1,1,['https://pbs.twimg.com/profile_images/1331486934284242944/ooc_L6BW_normal.jpg'],https://twitter.com/jchdezbravo/status/1352586362998800388
Carolina Martinez,@mcmrtnz,2021-01-22T11:57:57.000Z,"Qué pasa con Twitter en Mexico? Porque suspender cuentas de gente propositiva y no saca a instigadores  de violencia social 
@VicenteFoxQue
 @FelipeCalderon
  @vampipe
  #TwitterEsPanista  ?",,,,,[],https://twitter.com/mcmrtnz/status/1352586296892432386
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T11:57:55.000Z,"Replying to 
@KarlaDeLaFuen16#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352586286889127936
Josesa,@Josesarti2,2021-01-22T11:57:53.000Z,"Replying to 
@joecorvette67
 @Dey_kysha
 and 
@revistapolemon#TwitterEsPanista y poco profesional",,,,1,[],https://twitter.com/Josesarti2/status/1352586281033871363
Cruz Manuel Gallegos,@CruzManuelGall3,2021-01-22T11:57:35.000Z,"Replying to 
@DiegodelBosqueV#TwitterEsPanista",,,,,[],https://twitter.com/CruzManuelGall3/status/1352586202151583745
Saúl SV,@saul_ssv,2021-01-22T11:56:39.000Z,"El pejismo sufriendo innecesariamente porque #TwitterEsPanista. A nadie lo tienen aquí a la fuerza.

Es como si además de quejarme de las mañaneras por inútiles, todavía me pusiera a verlas diario.",,,,,[],https://twitter.com/saul_ssv/status/1352585969321594881
