id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1380180534660378626	1380068236558012424	2021-04-08 10:27:36 CDT	2021-04-08	10:27:36	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@Bigrocko1 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180534660378626	False		0								[{'screen_name': 'Bigrocko1', 'name': 'Bigrocko', 'id': '1254169786873008128'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180503391789064	1380068236558012424	2021-04-08 10:27:29 CDT	2021-04-08	10:27:29	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@morales_jeral @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180503391789064	False		0								[{'screen_name': 'morales_jeral', 'name': 'Jeral Morales', 'id': '1058888122803609600'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180471393488899	1380068236558012424	2021-04-08 10:27:21 CDT	2021-04-08	10:27:21	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@MVJIUJITSU @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180471393488899	False		0								[{'screen_name': 'MVJIUJITSU', 'name': 'Mj Victoria', 'id': '38936894'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180436203270145	1380068236558012424	2021-04-08 10:27:13 CDT	2021-04-08	10:27:13	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@EliasAzmar @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180436203270145	False		0								[{'screen_name': 'EliasAzmar', 'name': 'Elias Azmar', 'id': '928718922693730305'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180397359828993	1380068236558012424	2021-04-08 10:27:03 CDT	2021-04-08	10:27:03	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@JCPineda70 @AlmaDAJimenez1 😂 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	4	[]	[]	https://twitter.com/drgarciafdez/status/1380180397359828993	False		0								[{'screen_name': 'JCPineda70', 'name': 'Julio Cesar Pineda D', 'id': '1374536477351280640'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180330351562756	1380068236558012424	2021-04-08 10:26:47 CDT	2021-04-08	10:26:47	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@Romayl10 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180330351562756	False		0								[{'screen_name': 'Romayl10', 'name': 'MLT', 'id': '630736010'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180296067379203	1380068236558012424	2021-04-08 10:26:39 CDT	2021-04-08	10:26:39	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@pedro201214 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180296067379203	False		0								[{'screen_name': 'pedro201214', 'name': 'ParaHermoso Pablo', 'id': '507566481'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180248126496771	1380068236558012424	2021-04-08 10:26:28 CDT	2021-04-08	10:26:28	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@paulinalavarado @ChristianWzzz @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	1	2	[]	[]	https://twitter.com/drgarciafdez/status/1380180248126496771	False		0								[{'screen_name': 'paulinalavarado', 'name': 'Paulina A Hernández 💫', 'id': '82754217'}, {'screen_name': 'ChristianWzzz', 'name': 'Christian W.', 'id': '72617887'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180212709724161	1380068236558012424	2021-04-08 10:26:19 CDT	2021-04-08	10:26:19	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@ChristianWzzz @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180212709724161	False		0								[{'screen_name': 'ChristianWzzz', 'name': 'Christian W.', 'id': '72617887'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180149791035397	1380068236558012424	2021-04-08 10:26:04 CDT	2021-04-08	10:26:04	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@moisesg51519038 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	0	0	[]	[]	https://twitter.com/drgarciafdez/status/1380180149791035397	False		0								[{'screen_name': 'moisesg51519038', 'name': 'Moises gutierrez', 'id': '1199101312811589632'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180119801757698	1380068236558012424	2021-04-08 10:25:57 CDT	2021-04-08	10:25:57	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@psynegro @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	0	1	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180119801757698	False		0								[{'screen_name': 'psynegro', 'name': 'Rick Sánchez', 'id': '3159914940'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
1380180087820197888	1380068236558012424	2021-04-08 10:25:50 CDT	2021-04-08	10:25:50	-0500	121889810	drgarciafdez	VOTO ÚTIL SIxMEXICO🇲🇽		@nopal51 @AlmaDAJimenez1 Para saber por quién votar?? nos puede ser de utilidad  https://t.co/PLTxoYuScR Para ayudar a que la oposición logre equilibrar el poder en la Cámara de Diputados. Nos parece que es crucial . De le contrario, perderemos a México Aquí va la aplicación:  https://t.co/PLTxoYuScR	es	[]	['http://voto-util.web.app', 'http://voto-util.web.app']	[]	1	2	1	[]	[]	https://twitter.com/drgarciafdez/status/1380180087820197888	False		0								[{'screen_name': 'nopal51', 'name': 'Pablo Pueblo', 'id': '139127775'}, {'screen_name': 'AlmaDAJimenez1', 'name': 'Alma DA Jimenez', 'id': '1019014781896986625'}]				
