UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Juan Nelson Enríquez,@JNelsonE,2020-06-08T19:43:31.000Z,"Odio jarocho, ya deben dedicarse a lo suyo 
@AristeguiOnline
 es un espacio periodístico independiente, #NOTIMEX es una agencia gubernamental, #SanjuanaMartínez  no tiene derecho a poner entredicho la institución...Juan Manuel Valero
@esvalero
 · Jun 8, 2020
Tal parece que @AristeguiOnline ya se hizo adicta al juego “péguele a @SanjuanaNotimex.” ¿A poco la antigua Notimex era la versión mexicana de la BBC de Londres?",,,,,['https://pbs.twimg.com/profile_images/1284542747102212098/zKtPyYFg_mini.jpg'],https://twitter.com/JNelsonE/status/1270079027534069760
Notimex,@Notimex,2020-06-08T19:40:06.000Z,"Enrique Bonilla, presidente de la Liga MX, y los médicos de los 18 equipos tuvieron una reunión con 
@RicardoDGPS
, Director General de Promoción de la Salud para revisar el Protocolo Sanitario Único que se implementará en el balompié.
  TW/
@LigaBBVAMX
@Notimex_TV
• #Notimex",📷,,,5,['https://pbs.twimg.com/media/EaA5XI4XkAQHAzI?format=jpg&name=small'],https://twitter.com/Notimex/status/1270078166154072068
Notimex,@Notimex,2020-06-08T19:39:05.000Z," #VIDEO | «Previo a la marcha “Justicia para Melanie”».
@Biankguirre
 

@Notimex_TV
• #Notimex",🎥,,5,15,['https://pbs.twimg.com/ext_tw_video_thumb/1270077730181263361/pu/img/vJ78_a0KtT9GkNq7.jpg'],https://twitter.com/Notimex/status/1270077911224258560
Notimex,@Notimex,2020-06-08T19:35:04.000Z,".
@ClubAmerica
 dio a conocer que 53 de 54 pruebas de
detección de #COVID19 realizadas a jugadores, cuerpo técnico y el resto del personal resultaron negativas, incluidas la totalidad de los integrantes del primer equipo varonil.
  Club América
@Notimex_TV
• #Notimex",📷,,3,10,['https://pbs.twimg.com/media/EaA4NNBXQAAJABP?format=jpg&name=small'],https://twitter.com/Notimex/status/1270076900149469188
Notimex,@Notimex,2020-06-08T19:30:27.000Z," #VIDEO | «Difunden imagen del gobernador de Querétaro en reunión en plena #pandemia».
@Notimex_TV
• #Notimex",🎥,3,9,8,['https://pbs.twimg.com/ext_tw_video_thumb/1270074411022983168/pu/img/saaDg_kIAxskav92.jpg'],https://twitter.com/Notimex/status/1270075739753283589
Notimex,@Notimex,2020-06-08T19:05:06.000Z,"#CoronavirusEnElMundo | Países con más casos confirmados de #COVID19 a nivel global:
 7.068.144
 1.951.722
 691.758
 476.043
 288.827
 265.869
 241.717
 235.278

*Datos de 
@JohnsHopkins
 a las 14:00 h del 8/06/2020.
@Notimex_TV
 

• #Notimex",🌍,,3,5,['https://pbs.twimg.com/media/EaAxWbQXkAYYYG8?format=jpg&name=small'],https://twitter.com/Notimex/status/1270069357545172995
Notimex,@Notimex,2020-06-08T19:01:36.000Z,"Ante la campaña de 
@AristeguiOnline
 contra la Agencia de Noticias del Estado Mexicano, la dirección jurídica de Notimex asegura que la conductora incurre en violaciones a la Constitución al no respetar el derecho de réplica.
 http://ow.ly/KUHa50A29Cg
@Notimex_TV
• #Notimex",➡,1800.0,2800.0,3200.0,['https://pbs.twimg.com/media/EaAwjRIWAAIHNRW?format=jpg&name=small'],https://twitter.com/Notimex/status/1270068479434076161
Notimex,@Notimex,2020-06-08T19:01:23.000Z," #VIDEO | «Se preparan oficiales de Tránsito para vigilar marcha hacia el Zócalo».
 Alejandro Garza
@Notimex_TV
 

• #Notimex1:26
467 views",🎥 🎙,1,1,6,[],https://twitter.com/Notimex/status/1270068422362226689
Notimex,@Notimex,2020-06-08T18:40:03.000Z,"El equipo femenil del Manchester United confirmó hoy que la medio campista 
@aimeerose46
 saldrá del club este mes, al terminar su contrato.  
TW/
@ManUtdWomen
 

@Notimex_TV
     

• #Notimex",📷,1,,3,['https://pbs.twimg.com/media/EaArnp1WkAEAaBD?format=jpg&name=small'],https://twitter.com/Notimex/status/1270063056421294087
Notimex,@Notimex,2020-06-08T18:35:04.000Z," #INFOGRAFÍA | «En #Tabasco, hallan el centro ceremonial maya más antiguo».
@Notimex_TV
• #Notimex",📈,,8,9,['https://pbs.twimg.com/media/EaAqebZX0AA1OjZ?format=jpg&name=900x900'],https://twitter.com/Notimex/status/1270061798641807370
Notimex,@Notimex,2020-06-08T18:24:49.000Z,".
@MorenaSenadores
 celebraron en redes sociales que la 
@FGRMexico
 dictaminó que no hubo espionaje, tras la denuncia de 
@AccionNacional
 en la que, presuntamente, se encontraron micrófonos en sus oficinas.
  Redes sociales 
@Notimex_TV
• #Notimex",📷,1,11,16,['https://pbs.twimg.com/media/EaAoIcVWsAACBjK?format=png&name=small'],https://twitter.com/Notimex/status/1270059221871181825
Notimex,@Notimex,2020-06-08T17:24:25.000Z,"El peso inició la semana con una depreciación de 0.03% frente al dólar estadunidense.
  http://ow.ly/Lelq50A232K
@Notimex_TV
• #Notimex",➡,,1,2,['https://pbs.twimg.com/media/EaAaTv0XYAIDSeQ?format=jpg&name=small'],https://twitter.com/Notimex/status/1270044022904676358
Notimex,@Notimex,2020-06-08T17:20:04.000Z,"El gobierno chino reportó hoy el envío de soldados y vehículos blindados desde la provincia de #Hubei a un lugar no especificado cerca de la frontera con #India, de acuerdo con los reportes de una cadena televisiva.
@Notimex_TV
     

• #Notimex",,,3,12,['https://pbs.twimg.com/media/EaAZT3oXQAAcVfY?format=png&name=360x360'],https://twitter.com/Notimex/status/1270042925225906177
